year,tract,asthma,asthma_ci_low,asthma_ci_high,data_value_unit,totalpopulation,totalpop18plus
2022,17031803702,8.0,7.1,9.0,%,6376,5036
2022,17031804610,8.5,7.6,9.6,%,2524,2060
2022,17031813802,8.9,7.9,10.0,%,4958,3664
2022,17031812200,8.8,7.9,9.9,%,3984,2900
2022,17031817200,12.0,10.8,13.4,%,4821,3557
2022,17031814500,8.8,7.8,9.8,%,5395,4124
2022,17031804202,7.9,7.0,8.8,%,7793,5973
2022,17031801601,7.9,7.0,8.8,%,4734,3831
2022,17031800800,8.4,7.5,9.4,%,2426,1935
2022,17031804706,8.6,7.6,9.6,%,2553,1963
2022,17031770902,9.1,8.1,10.2,%,3732,3066
2022,17031802403,8.5,7.5,9.5,%,1531,1363
2022,17031802608,8.7,7.7,9.7,%,6730,5530
2022,17031803902,9.1,8.1,10.2,%,3429,2813
2022,17031801902,8.6,7.7,9.7,%,3420,2462
2022,17031803613,9.1,8.1,10.2,%,3434,2444
2022,17031803500,8.3,7.3,9.3,%,5803,4414
2022,17031819700,8.5,7.6,9.6,%,6028,4213
2022,17031818200,9.5,8.5,10.6,%,4762,3791
2022,17031814200,8.5,7.6,9.6,%,7671,5414
2022,17031816000,9.1,8.1,10.3,%,3307,2943
2022,17031812400,8.2,7.3,9.2,%,3458,2499
2022,17031671400,12.6,11.3,14.1,%,1558,1139
2022,17031809401,7.7,6.9,8.7,%,2747,2531
2022,17031670500,11.4,10.2,12.7,%,1148,834
2022,17031650400,9.8,8.7,11.0,%,6894,4982
2022,17031816600,9.1,8.1,10.2,%,4522,3321
2022,17031803400,8.5,7.5,9.5,%,6592,4859
2022,17031660800,10.9,9.8,12.1,%,6114,4531
2022,17031803612,9.6,8.5,10.7,%,3831,2768
2022,17031710900,12.7,11.4,14.1,%,1942,1420
2022,17031822702,9.8,8.7,10.9,%,3828,3027
2022,17031804511,8.6,7.6,9.6,%,2426,1802
2022,17031815702,8.6,7.7,9.7,%,5302,4040
2022,17031720200,9.8,8.7,10.9,%,4131,3257
2022,17031804603,8.0,7.1,8.9,%,5651,4531
2022,17031811402,8.9,8.0,10.0,%,4572,3556
2022,17031820501,9.7,8.6,10.9,%,5905,4615
2022,17031710300,11.7,10.5,13.1,%,1424,1099
2022,17031804404,9.2,8.3,10.3,%,5147,3857
2022,17031818700,8.6,7.6,9.6,%,3691,2801
2022,17031803014,9.1,8.1,10.1,%,3677,2946
2022,17031611300,9.8,8.7,11.0,%,3668,2505
2022,17031760802,9.2,8.2,10.4,%,2374,2015
2022,17031818800,9.2,8.2,10.3,%,5692,4306
2022,17031804308,9.1,8.1,10.2,%,5518,4583
2022,17031710700,11.9,10.6,13.2,%,3420,2686
2022,17031812700,9.1,8.1,10.2,%,3192,2603
2022,17031611700,11.6,10.3,13.0,%,2180,1453
2022,17031630300,8.8,7.8,9.9,%,5385,3852
2022,17031804808,8.7,7.7,9.7,%,2596,2011
2022,17031660900,11.8,10.6,13.2,%,4446,3255
2022,17031806001,8.4,7.5,9.3,%,5818,4929
2022,17031800700,8.1,7.2,9.0,%,5257,3640
2022,17031820400,9.7,8.7,10.9,%,5556,4044
2022,17031816900,10.2,9.1,11.4,%,5561,4339
2022,17031670800,11.9,10.6,13.3,%,1477,1085
2022,17031620100,9.1,8.1,10.2,%,4567,3373
2022,17031804804,8.7,7.7,9.7,%,6809,5330
2022,17031650200,9.0,8.0,10.1,%,7251,5373
2022,17031813600,9.2,8.2,10.3,%,5443,3938
2022,17031711100,11.6,10.4,13.0,%,2499,2052
2022,17031809402,9.2,8.1,10.3,%,3374,3192
2022,17031750600,12.3,11.0,13.7,%,3420,2676
2022,17031670200,11.8,10.5,13.1,%,1325,930
2022,17031630500,9.2,8.1,10.3,%,6271,4472
2022,17031803200,8.7,7.8,9.8,%,5586,4381
2022,17031640100,8.9,8.0,10.0,%,1312,1006
2022,17031809800,9.0,8.0,10.1,%,2678,2221
2022,17031720300,8.9,7.9,10.0,%,3637,2811
2022,17031808302,7.8,7.0,8.8,%,4367,3554
2022,17031671300,12.8,11.4,14.3,%,2048,1552
2022,17031808002,7.5,6.6,8.4,%,5281,4149
2022,17031806006,8.0,7.1,8.9,%,4885,4065
2022,17031700200,9.4,8.3,10.5,%,6554,4759
2022,17031822200,9.3,8.3,10.4,%,3929,3016
2022,17031805110,8.5,7.6,9.6,%,4440,3648
2022,17031804803,8.5,7.6,9.6,%,5721,4372
2022,17031814100,9.8,8.7,10.9,%,4683,3312
2022,17031720700,10.7,9.5,11.9,%,3073,2521
2022,17031805202,8.0,7.1,9.0,%,4078,3171
2022,17031804713,7.2,6.4,8.0,%,5037,3917
2022,17031700402,10.5,9.3,11.8,%,4082,3067
2022,17031770700,9.2,8.2,10.3,%,2537,2093
2022,17031660700,12.2,10.9,13.6,%,2076,1554
2022,17031802504,9.0,8.0,10.1,%,6442,5103
2022,17031805105,8.7,7.7,9.7,%,7278,5579
2022,17031815701,8.8,7.8,9.9,%,4124,3033
2022,17031750300,8.7,7.7,9.7,%,2470,1859
2022,17031660302,10.0,8.9,11.2,%,5549,3890
2022,17031821500,13.3,11.9,14.8,%,1421,1043
2022,17031720600,9.0,8.0,10.1,%,1691,1300
2022,17031801300,8.6,7.6,9.6,%,4430,3228
2022,17031819300,9.2,8.2,10.3,%,2777,2182
2022,17031821300,10.6,9.5,11.9,%,5477,4143
2022,17031807400,8.6,7.6,9.6,%,6824,5216
2022,17031805702,8.3,7.4,9.3,%,2089,1601
2022,17031804508,9.5,8.5,10.6,%,2343,1735
2022,17031807900,7.6,6.7,8.5,%,4201,3396
2022,17031740200,9.7,8.7,10.9,%,5830,4430
2022,17031671500,12.3,11.0,13.7,%,2716,1978
2022,17031820606,9.4,8.4,10.5,%,3866,3212
2022,17031810100,8.9,8.0,10.0,%,4480,3555
2022,17031806104,8.9,7.9,10.0,%,4134,3377
2022,17031823602,9.6,8.5,10.7,%,6209,5330
2022,17031806400,9.0,8.0,10.1,%,2492,1979
2022,17031700401,10.6,9.5,11.9,%,5822,4459
2022,17031803005,8.2,7.3,9.2,%,2614,2031
2022,17031806801,8.2,7.3,9.2,%,4294,3523
2022,17031803010,8.5,7.6,9.6,%,5351,4196
2022,17031806501,9.0,8.0,10.1,%,2665,2085
2022,17031808301,7.8,6.9,8.7,%,6520,5342
2022,17031819802,8.3,7.4,9.3,%,2741,2025
2022,17031730201,11.4,10.1,12.7,%,5627,4533
2022,17031809300,9.3,8.2,10.4,%,5043,4416
2022,17031808600,8.4,7.5,9.4,%,2465,1844
2022,17031804315,8.2,7.3,9.2,%,2446,1984
2022,17031823303,9.8,8.7,10.9,%,4581,3467
2022,17031820203,9.0,8.0,10.1,%,4038,3099
2022,17031817700,11.1,9.9,12.4,%,4803,3757
2022,17031805401,8.4,7.5,9.4,%,4056,3284
2022,17031815400,9.3,8.3,10.4,%,5545,4460
2022,17031811200,9.4,8.4,10.5,%,5401,4239
2022,17031823101,10.4,9.3,11.7,%,4515,3570
2022,17031681000,13.8,12.3,15.3,%,2573,1973
2022,17031810302,9.1,8.1,10.2,%,3360,2637
2022,17031681400,11.8,10.5,13.2,%,2474,1867
2022,17031818402,9.2,8.2,10.3,%,3282,2722
2022,17031812302,9.2,8.2,10.3,%,2681,1971
2022,17031810800,9.0,8.0,10.1,%,5124,4043
2022,17031808900,8.2,7.3,9.2,%,4149,3113
2022,17031821101,9.5,8.5,10.6,%,4876,3749
